id,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Address,Response_Address,Response_X,Response_Y,縣市,商店名稱
16673,23060248,全家便利商店股份有限公司,89398480,八德介壽分公司,桃園市八德區介壽路一段６４３號１樓,1,0840719,0920530,桃園市八德區介壽路一段６４３號１樓,桃園市八德區大榮里7鄰介壽路一段643號,280400.76,2762141.21,桃園市,全家
16675,23060248,全家便利商店股份有限公司,89398502,鳳山凱旋分公司,高雄市鳳山區凱旋路二六五號一樓,1,0840719,0920606,高雄市鳳山區凱旋路二六五號一樓,高雄市鳳山區老爺里7鄰凱旋路265號,183083.179,2501606.509,高雄市,全家
16679,23060248,全家便利商店股份有限公司,89400211,彰化溪湖分公司,彰化縣溪湖鎮光平里大溪路二段４０４號１樓,1,0840811,0920530,彰化縣溪湖鎮光平里大溪路二段４０４號１樓,彰化縣溪湖鎮光平里14鄰大溪路二段404號,197252.551,2651104.963,彰化縣,全家
16684,23060248,全家便利商店股份有限公司,89401990,高雄陽明分公司,高雄市三民區陽明路１９６號１樓,1,0840907,0920602,高雄市三民區陽明路１９６號１樓,高雄市三民區寶業里18鄰陽明路196號,182390.954,2504821.915,高雄市,全家
16695,23060248,全家便利商店股份有限公司,89402745,新店寶中分公司,新北市新店區寶興里寶中路77號1樓,1,0840921,1060224,新北市新店區寶興里寶中路77號1樓,新北市新店區寶興里19鄰寶中路77號,305282.009,2763752.847,新北市,全家
16698,23060248,全家便利商店股份有限公司,89403575,蘆洲集賢分公司,新北市蘆洲區集賢路237號1樓,1,0841004,1060217,新北市蘆洲區集賢路237號1樓,新北市蘆洲區玉清里20鄰集賢路237號,298608.205,2775308.492,新北市,全家
16701,23060248,全家便利商店股份有限公司,89404119,新莊昌平分公司,新北市新莊區昌平街50號1樓,1,0841013,1060217,新北市新莊區昌平街50號1樓,新北市新莊區昌信里4鄰昌平街50號,295884.797,2771787.936,新北市,全家
16705,23060248,全家便利商店股份有限公司,89406215,中和圓通分公司,新北市中和區圓通路307之5號335巷1弄27號1樓,1,0841117,1060215,新北市中和區圓通路307之5號335巷1弄27號1樓,新北市中和區錦盛里16鄰圓通路335巷1弄27號,299802.958,2764831.154,新北市,全家
16706,23060248,全家便利商店股份有限公司,89406221,新莊八德分公司,新北市新莊區八德街15巷2號、17號1樓,1,0841117,1060224,新北市新莊區八德街15巷2號、17號1樓,新北市新莊區八德里11鄰八德街15巷2號,292926.076,2768326.833,新北市,全家
16708,23060248,全家便利商店股份有限公司,89406334,清水中山分公司,臺中市清水區中山路１１０號１樓,1,0841118,0920530,臺中市清水區中山路１１０號１樓,臺中市清水區清水里8鄰中山路110號,206861.019,2684723.29,臺中市,全家
16713,23060248,全家便利商店股份有限公司,89406593,新莊中港分公司,新北市新莊區中港路126號1樓,1,0841121,1060216,新北市新莊區中港路126號1樓,新北市新莊區恆安里14鄰中港路126號,295948.382,2770324.325,新北市,全家
16720,23060248,全家便利商店股份有限公司,90677833,台北市第七二四分公司,臺北市松山區中華里敦化北路153號1樓,1,1100506,       ,臺北市松山區中華里敦化北路153號1樓,臺北市松山區中華里16鄰敦化北路153號,305436.618,2771886.239,臺北市,全家
16721,23060248,全家便利商店股份有限公司,90677854,台中市第六九七分公司,臺中市大甲區日南里幼二路153號、155號1樓,1,1100506,       ,臺中市大甲區日南里幼二路153號、155號1樓,臺中市大甲區日南里7鄰幼二路153號,214198.28,2700037.656,臺中市,全家
16722,23060248,全家便利商店股份有限公司,90677860,新北市第一○三二分公司,新北市土城區貨饒里中央路一段43號,1,1100506,       ,新北市土城區貨饒里中央路一段43號,新北市土城區貨饒里2鄰中央路一段43號,295248.726,2764798.71,新北市,全家
16723,23060248,全家便利商店股份有限公司,90677989,新北市第一○三六分公司,新北市三峽區龍學里學勤路1號1樓、2樓,1,1100511,       ,新北市三峽區龍學里學勤路1號1樓、2樓,新北市三峽區龍學里31鄰學勤路1號,287703.75,2759815.989,新北市,全家
16724,23060248,全家便利商店股份有限公司,90678045,新北市第一○三五分公司,新北市汐止區橫科里民權街二段68號、70號1樓,1,1100512,       ,新北市汐止區橫科里民權街二段68號、70號1樓,新北市汐止區橫科里33鄰民權街二段68號,312472.455,2771284.711,新北市,全家
16725,23060248,全家便利商店股份有限公司,90678283,台南市第二七四分公司,臺南市善化區胡家里胡厝寮29之6號,1,1100517,       ,臺南市善化區胡家里胡厝寮29之6號,臺南市善化區胡家里3鄰胡厝寮29號之6,175513.38,2560467.77,臺南市,全家
16726,23060248,全家便利商店股份有限公司,90681941,台中市第六九五分公司,臺中市清水區槺榔里鰲峰路585－8號1樓,1,1100401,       ,臺中市清水區?榔里鰲峰路585－8號1樓,臺中市清水區?榔里7鄰鰲峰路585之8號,204067.845,2684334.444,臺中市,全家
